FrameSync,DateTime (UTC+00:00),Temperature (Celsius),Oxygen (mg/L),pH (pH),Chlorophyll (ug/l),Turbidity (NTU),Chlorophyll StdDev (ug/l),Turbidity StdDev (NTU),Salinity (psu),Spec Conductivity (uS/cm),Oxygen Sat (%),Date,Time (UTC+00:00),Event Flags
HCEP03730292,11/6/2020 3:30,12.4084,8.211,8.03,1.12,1.19,0.03,0.04,31.1839,48673.7,93.49, 06 Nov 2020, 03:30:00,0
HCEP03730292,11/6/2020 3:45,12.4269,8.205,8.03,1.206,1.114,0.06,0.03,31.1912,48681.5,93.46, 06 Nov 2020, 03:45:00,0
HCEP03730292,11/6/2020 4:00,12.4524,8.205,8.03,1.1,1.114,0.04,0.02,31.1997,48690,93.51, 06 Nov 2020, 04:00:00,0
HCEP03730292,11/6/2020 4:15,12.4506,8.205,8.03,1.142,1.08,0.02,0.03,31.2,48690.6,93.51, 06 Nov 2020, 04:15:00,0
HCEP03730292,11/6/2020 4:30,12.4473,8.193,8.03,1.101,1.136,0.03,0.03,31.1977,48687.8,93.37, 06 Nov 2020, 04:30:00,0
HCEP03730292,11/6/2020 4:45,12.4411,8.206,8.03,1.181,1.089,0.04,0.02,31.1935,48682.7,93.5, 06 Nov 2020, 04:45:00,0
HCEP03730292,11/6/2020 5:00,12.4009,8.209,8.03,1.126,1.175,0.03,0.03,31.1778,48666.1,93.45, 06 Nov 2020, 05:00:00,0
HCEP03730292,11/6/2020 5:15,12.3907,8.223,8.03,1.176,1.134,0.05,0.03,31.1693,48655.5,93.58, 06 Nov 2020, 05:15:00,0
HCEP03730292,11/6/2020 5:30,12.3291,8.229,8.03,1.12,1.215,0.04,0.02,31.1366,48617.9,93.51, 06 Nov 2020, 05:30:00,0
HCEP03730292,11/6/2020 5:45,12.2689,8.272,8.03,1.221,1.195,0.06,0.03,31.0957,48568.6,93.85, 06 Nov 2020, 05:45:00,0
HCEP03730292,11/6/2020 6:00,12.2057,8.301,8.03,1.228,1.259,0.04,0.02,31.0585,48525,94.03, 06 Nov 2020, 06:00:00,0
HCEP03730292,11/6/2020 6:15,12.1992,8.323,8.03,1.32,1.232,0.06,0.03,31.0486,48512.1,94.27, 06 Nov 2020, 06:15:00,0
HCEP03730292,11/6/2020 6:30,12.1661,8.314,8.03,1.337,1.338,0.06,0.03,31.0421,48507.4,94.1, 06 Nov 2020, 06:30:00,0
HCEP03730292,11/6/2020 6:45,12.085,8.312,8.03,1.37,1.248,0.06,0.02,31.0117,48475.9,93.9, 06 Nov 2020, 06:45:00,0
HCEP03730292,11/6/2020 7:00,12.0073,8.337,8.02,1.287,1.256,0.04,0.02,30.976,48436.5,94, 06 Nov 2020, 07:00:00,0
HCEP03730292,11/6/2020 7:15,11.675,8.441,8.02,1.131,1.09,0.03,0.02,30.6817,48069,94.39, 06 Nov 2020, 07:15:00,0
HCEP03730292,11/6/2020 7:30,11.6715,8.467,8.01,1.08,1.167,0.03,0.02,30.6958,48089.4,94.61, 06 Nov 2020, 07:30:00,0
HCEP03730292,11/6/2020 7:45,11.6834,8.45,8.01,1.124,1.156,0.03,0.02,30.7297,48135.5,94.48, 06 Nov 2020, 07:45:00,0
HCEP03730292,11/6/2020 8:00,11.7054,8.418,8.01,1.084,1.232,0.03,0.02,30.7639,48180.6,94.19, 06 Nov 2020, 08:00:00,0
HCEP03730292,11/6/2020 8:15,11.7301,8.402,8.01,1.174,1.208,0.07,0.02,30.794,48219.5,94.07, 06 Nov 2020, 08:15:00,0
HCEP03730292,11/6/2020 8:30,11.7467,8.38,8.01,1.115,1.26,0.07,0.02,30.8117,48241.9,93.86, 06 Nov 2020, 08:30:00,0
HCEP03730292,11/6/2020 8:45,11.766,8.38,8.02,1.178,1.225,0.05,0.03,30.8304,48265.6,93.92, 06 Nov 2020, 08:45:00,0
HCEP03730292,11/6/2020 9:00,11.784,8.357,8.02,1.152,1.262,0.05,0.03,30.8466,48285.9,93.71, 06 Nov 2020, 09:00:00,0
HCEP03730292,11/6/2020 9:15,11.7846,8.352,8.02,1.2,1.226,0.05,0.03,30.847,48286.3,93.64, 06 Nov 2020, 09:15:00,0
HCEP03730292,11/6/2020 9:30,11.7827,8.353,8.02,1.162,1.285,0.1,0.03,30.8505,48291.5,93.66, 06 Nov 2020, 09:30:00,0
HCEP03730292,11/6/2020 9:45,11.7765,8.356,8.02,1.181,1.226,0.05,0.03,30.8526,48295.4,93.68, 06 Nov 2020, 09:45:00,0
HCEP03730292,11/6/2020 10:00,11.7799,8.345,8.02,1.142,1.268,0.05,0.02,30.8537,48296.4,93.56, 06 Nov 2020, 10:00:00,0
HCEP03730292,11/6/2020 10:15,11.7599,8.335,8.02,1.259,1.234,0.09,0.04,30.8321,48268.8,93.41, 06 Nov 2020, 10:15:00,0
HCEP03730292,11/6/2020 10:30,11.7924,8.315,8.01,1.271,1.257,0.07,0.05,30.8362,48269.9,93.24, 06 Nov 2020, 10:30:00,0
HCEP03730292,11/6/2020 10:45,11.8248,8.304,8.02,1.304,1.22,0.04,0.04,30.8667,48308.4,93.19, 06 Nov 2020, 10:45:00,0
HCEP03730292,11/6/2020 11:00,11.7922,8.325,8.02,1.251,1.23,0.04,0.04,30.8421,48278.3,93.36, 06 Nov 2020, 11:00:00,0
HCEP03730292,11/6/2020 11:15,11.7662,8.35,8.01,1.311,1.159,0.07,0.02,30.8168,48246.4,93.57, 06 Nov 2020, 11:15:00,0
HCEP03730292,11/6/2020 11:30,11.746,8.36,8.01,1.25,1.184,0.05,0.03,30.8008,48226.8,93.64, 06 Nov 2020, 11:30:00,0
HCEP03730292,11/6/2020 11:45,11.7277,8.404,8.01,1.326,1.126,0.05,0.03,30.7987,48226.4,94.1, 06 Nov 2020, 11:45:00,0
HCEP03730292,11/6/2020 12:00,11.7912,8.373,8.01,1.406,1.177,0.04,0.03,30.8185,48245.2,93.87, 06 Nov 2020, 12:00:00,0
HCEP03730292,11/6/2020 12:15,11.7471,8.33,8.01,1.343,1.125,0.05,0.03,30.7968,48221,93.3, 06 Nov 2020, 12:15:00,0
HCEP03730292,11/6/2020 12:30,11.7605,8.352,8.01,1.307,1.153,0.05,0.02,30.7984,48221.3,93.57, 06 Nov 2020, 12:30:00,0
HCEP03730292,11/6/2020 12:45,11.7805,8.376,8.01,1.351,1.108,0.04,0.02,30.8025,48224.1,93.89, 06 Nov 2020, 12:45:00,0
HCEP03730292,11/6/2020 13:00,11.803,8.402,8.02,1.306,1.141,0.03,0.02,30.808,48228.8,94.23, 06 Nov 2020, 13:00:00,0
HCEP03730292,11/6/2020 13:15,11.8661,8.408,8.02,1.398,1.102,0.05,0.01,30.8264,48245.7,94.42, 06 Nov 2020, 13:15:00,0
HCEP03730292,11/6/2020 13:30,11.8943,8.438,8.02,1.388,1.136,0.04,0.02,30.8405,48261.5,94.84, 06 Nov 2020, 13:30:00,0
HCEP03730292,11/6/2020 13:45,11.9474,8.441,8.02,1.408,1.071,0.06,0.02,30.858,48278.8,94.98, 06 Nov 2020, 13:45:00,0
HCEP03730292,11/6/2020 14:00,12.0438,8.412,8.02,1.341,1.093,0.03,0.02,30.9254,48360.1,94.88, 06 Nov 2020, 14:00:00,0
HCEP03730292,11/6/2020 14:15,12.0817,8.429,8.02,1.341,1.053,0.04,0.02,30.9208,48348.4,95.15, 06 Nov 2020, 14:15:00,0
HCEP03730292,11/6/2020 14:30,12.227,8.407,8.03,1.249,1.071,0.04,0.02,31.0078,48450.8,95.23, 06 Nov 2020, 14:30:00,0
HCEP03730292,11/6/2020 14:45,12.3451,8.376,8.03,1.311,1.036,0.04,0.02,31.091,48551.8,95.17, 06 Nov 2020, 14:45:00,0
HCEP03730292,11/6/2020 15:00,12.3614,8.361,8.03,1.169,1.078,0.05,0.03,31.1034,48567,95.05, 01 Nov 2020, 23:45:00,0
HCEP03730292,11/6/2020 15:15,12.4463,8.327,8.03,1.033,1.037,0.03,0.1,31.161,48636.4,94.86, 06 Nov 2020, 15:15:00,0
HCEP03730292,11/6/2020 15:30,12.5413,8.293,8.03,0.833,1,0.03,0.02,31.2063,48687.4,94.69, 06 Nov 2020, 15:30:00,0
HCEP03730292,11/6/2020 15:45,12.5808,8.27,8.03,0.941,0.953,0.03,0.03,31.2268,48710.9,94.52, 06 Nov 2020, 15:45:00,0
HCEP03730292,11/6/2020 16:00,12.6019,8.276,8.03,0.927,0.98,0.03,0.02,31.2407,48727.6,94.64, 06 Nov 2020, 16:00:00,0
HCEP03730292,11/6/2020 16:15,12.6573,8.272,8.03,0.976,0.898,0.03,0.02,31.2578,48744.3,94.71, 06 Nov 2020, 16:15:00,0
HCEP03730292,11/6/2020 16:30,12.666,8.26,8.03,0.885,0.961,0.04,0.04,31.2636,48751.4,94.6, 06 Nov 2020, 16:30:00,0
HCEP03730292,11/6/2020 16:45,12.7468,8.26,8.03,0.833,0.873,0.03,0.02,31.2805,48764.5,94.76, 06 Nov 2020, 16:45:00,0
HCEP03730292,11/6/2020 17:00,12.7225,8.29,8.04,0.808,0.962,0.04,0.02,31.2666,48748.2,95.06, 02 Nov 2020, 00:00:00,0
HCEP03730292,11/6/2020 17:15,12.7132,8.313,8.04,0.933,0.938,0.04,0.01,31.2545,48732.4,95.29, 06 Nov 2020, 17:15:00,0
HCEP03730292,11/6/2020 17:30,12.684,8.287,8.03,0.837,1.043,0.04,0.02,31.2427,48719.6,94.93, 06 Nov 2020, 17:30:00,0
HCEP03730292,11/6/2020 17:45,12.7447,8.281,8.03,0.895,1.025,0.04,0.03,31.242,48710.7,94.97, 06 Nov 2020, 17:45:00,0
HCEP03730292,11/6/2020 18:00,12.6989,8.375,8.04,0.88,1.058,0.05,0.02,31.1947,48650.3,95.95, 06 Nov 2020, 18:00:00,0
HCEP03730292,11/6/2020 18:15,12.532,8.514,8.04,1.105,1.058,0.05,0.01,31.0738,48502.5,97.12, 06 Nov 2020, 18:15:00,0
HCEP03730292,11/6/2020 18:30,12.4669,8.543,8.04,1.243,1.109,0.05,0.02,31.0434,48468.5,97.3, 06 Nov 2020, 18:30:00,0
HCEP03730292,11/6/2020 18:45,12.4102,8.565,8.04,1.157,1.114,0.03,0.02,30.9684,48370.6,97.4, 06 Nov 2020, 18:45:00,0
HCEP03730292,11/6/2020 19:00,12.3603,8.582,8.03,1.095,1.146,0.02,0.02,30.8799,48252.8,97.43, 02 Nov 2020, 00:15:00,0
HCEP03730292,11/6/2020 19:15,12.3142,8.582,8.03,1.244,1.131,0.04,0.02,30.8609,48232.3,97.32, 06 Nov 2020, 19:15:00,0
HCEP03730292,11/6/2020 19:30,12.2861,8.559,8.03,1.174,1.173,0.03,0.02,30.8738,48254.2,97.01, 06 Nov 2020, 19:30:00,0
HCEP03730292,11/6/2020 19:45,12.2128,8.57,8.03,1.419,1.153,0.04,0.02,30.867,48254.6,96.99, 06 Nov 2020, 19:45:00,0
HCEP03730292,11/6/2020 20:00,12.124,8.598,8.03,1.62,1.188,0.06,0.04,30.8315,48216.8,97.1, 06 Nov 2020, 20:00:00,0
HCEP03730292,11/6/2020 20:15,12.1022,8.583,8.03,1.696,1.149,0.05,0.03,30.8305,48218.4,96.88, 06 Nov 2020, 20:15:00,0
HCEP03730292,11/6/2020 20:30,12.1039,8.533,8.03,1.63,1.211,0.03,0.04,30.8346,48223.9,96.32, 06 Nov 2020, 20:30:00,0
HCEP03730292,11/6/2020 20:45,12.1282,8.501,8.03,1.659,1.184,0.05,0.02,30.8753,48278,96.03, 06 Nov 2020, 20:45:00,0
HCEP03730292,11/6/2020 21:00,12.1299,8.5,8.03,1.524,1.221,0.07,0.01,30.8846,48290.7,96.03, 06 Nov 2020, 21:00:00,0
HCEP03730292,11/6/2020 21:15,12.1331,8.486,8.03,1.555,1.186,0.05,0.02,30.8955,48305.7,95.88, 06 Nov 2020, 21:15:00,0
HCEP03730292,11/6/2020 21:30,12.1334,8.47,8.03,1.536,1.239,0.04,0.03,30.9067,48321.5,95.72, 06 Nov 2020, 21:30:00,0
HCEP03730292,11/6/2020 21:45,12.1352,8.456,8.03,1.569,1.196,0.07,0.02,30.9103,48326.2,95.56, 06 Nov 2020, 21:45:00,0
HCEP03730292,11/6/2020 22:00,12.1385,8.447,8.03,1.521,1.247,0.06,0.01,30.9198,48339.2,95.47, 06 Nov 2020, 22:00:00,0
HCEP03730292,11/6/2020 22:15,12.1352,8.45,8.03,1.622,1.203,0.06,0.02,30.9234,48344.6,95.5, 06 Nov 2020, 22:15:00,0
HCEP03730292,11/6/2020 22:30,12.1381,8.447,8.03,1.551,1.246,0.05,0.02,30.9261,48348,95.47, 06 Nov 2020, 22:30:00,0
HCEP03730292,11/6/2020 22:45,12.1344,8.448,8.03,1.609,1.183,0.06,0.02,30.9249,48346.9,95.47, 06 Nov 2020, 22:45:00,0
HCEP03730292,11/6/2020 23:00,12.1365,8.446,8.03,1.609,1.23,0.08,0.03,30.9236,48344.7,95.46, 06 Nov 2020, 23:00:00,0
HCEP03730292,11/6/2020 23:15,12.1424,8.443,8.03,1.672,1.184,0.07,0.03,30.9257,48346.9,95.44, 06 Nov 2020, 23:15:00,0
HCEP03730292,11/6/2020 23:30,12.1456,8.435,8.03,1.611,1.221,0.06,0.03,30.9278,48349.4,95.36, 06 Nov 2020, 23:30:00,0
HCEP03730292,11/6/2020 23:45,12.1324,8.452,8.03,1.632,1.173,0.06,0.02,30.9249,48347.1,95.51, 06 Nov 2020, 23:45:00,0
HCEP03730292,11/7/2020 0:00,12.1304,8.445,8.03,1.653,1.223,0.07,0.03,30.9242,48346.4,95.43, 07 Nov 2020, 00:00:00,0
HCEP03730292,11/7/2020 0:15,12.1313,8.445,8.03,1.641,1.178,0.07,0.02,30.9269,48350.1,95.44, 07 Nov 2020, 00:15:00,0
HCEP03730292,11/7/2020 0:30,12.1263,8.444,8.03,1.531,1.217,0.06,0.02,30.9275,48351.6,95.41, 07 Nov 2020, 00:30:00,0
HCEP03730292,11/7/2020 0:45,12.1285,8.422,8.03,1.62,1.184,0.05,0.02,30.9322,48357.9,95.18, 07 Nov 2020, 00:45:00,0
HCEP03730292,11/7/2020 1:00,12.1161,8.432,8.03,1.514,1.229,0.07,0.04,30.9306,48357.4,95.26, 07 Nov 2020, 01:00:00,0
HCEP03730292,11/7/2020 1:15,12.1329,8.429,8.03,1.57,1.179,0.08,0.03,30.9371,48364.3,95.26, 02 Nov 2020, 01:00:00,0
HCEP03730292,11/7/2020 1:30,12.1298,8.424,8.03,1.482,1.214,0.04,0.02,30.9392,48367.7,95.2, 07 Nov 2020, 01:30:00,0
HCEP03730292,11/7/2020 1:45,12.1258,8.432,8.03,1.561,1.175,0.08,0.02,30.9409,48370.7,95.28, 07 Nov 2020, 01:45:00,0
HCEP03730292,11/7/2020 2:00,12.144,8.425,8.03,1.542,1.206,0.05,0.02,30.9439,48372.3,95.25, 07 Nov 2020, 02:00:00,0
HCEP03730292,11/7/2020 2:15,12.1616,8.427,8.03,1.558,1.15,0.05,0.02,30.9523,48381.7,95.31, 07 Nov 2020, 02:15:00,0
HCEP03730292,11/7/2020 2:30,12.1813,8.432,8.03,1.548,1.178,0.06,0.02,30.9569,48385.5,95.41, 07 Nov 2020, 02:30:00,0
HCEP03730292,11/7/2020 2:45,12.2113,8.44,8.03,1.622,1.128,0.05,0.02,30.9612,48387.4,95.56, 07 Nov 2020, 02:45:00,0
HCEP03730292,11/7/2020 3:00,12.2493,8.437,8.03,1.575,1.159,0.05,0.03,30.9683,48392.2,95.61, 07 Nov 2020, 03:00:00,0
HCEP03730292,11/7/2020 3:15,12.2951,8.438,8.03,1.641,1.093,0.07,0.02,30.9798,48402.1,95.72, 07 Nov 2020, 03:15:00,0
HCEP03730292,11/7/2020 3:30,12.3262,8.405,8.02,1.555,1.112,0.05,0.02,30.9829,48402.3,95.4, 02 Nov 2020, 01:15:00,0
HCEP03730292,11/7/2020 3:45,12.3268,8.427,8.03,1.588,1.073,0.04,0.04,30.9858,48406.3,95.67, 07 Nov 2020, 03:45:00,0
HCEP03730292,11/7/2020 4:00,12.3203,8.417,8.03,1.455,1.122,0.04,0.02,30.9861,48407.7,95.54, 07 Nov 2020, 04:00:00,0
HCEP03730292,11/7/2020 4:15,12.3327,8.43,8.03,1.518,1.067,0.05,0.02,30.9845,48403.7,95.71, 07 Nov 2020, 04:15:00,0
HCEP03730292,11/7/2020 4:30,12.3859,8.421,8.03,1.483,1.081,0.07,0.02,30.9985,48416.2,95.72, 07 Nov 2020, 04:30:00,0
HCEP03730292,11/7/2020 4:45,12.401,8.422,8.03,1.514,1.013,0.06,0.02,31.0149,48437.3,95.77, 07 Nov 2020, 04:45:00,0
HCEP03730292,11/7/2020 5:00,12.4079,8.428,8.03,1.481,1.034,0.05,0.02,31.0228,48447.4,95.85, 07 Nov 2020, 05:00:00,0
HCEP03730292,11/7/2020 5:15,12.4013,8.424,8.03,1.549,0.988,0.05,0.02,31.0234,48449.2,95.8, 07 Nov 2020, 05:15:00,0
HCEP03730292,11/7/2020 5:30,12.4019,8.419,8.03,1.53,1.029,0.06,0.02,31.022,48447,95.75, 07 Nov 2020, 05:30:00,0
HCEP03730292,11/7/2020 5:45,12.3719,8.402,8.03,1.542,1.017,0.04,0.03,31.0077,48431,95.48, 07 Nov 2020, 05:45:00,0
HCEP03730292,11/7/2020 6:00,12.3434,8.392,8.02,1.556,1.107,0.05,0.03,30.998,48421.2,95.31, 07 Nov 2020, 06:00:00,0
HCEP03730292,11/7/2020 6:15,12.3002,8.4,8.02,1.572,1.081,0.07,0.02,30.9901,48415.9,95.3, 07 Nov 2020, 06:15:00,0
HCEP03730292,11/7/2020 6:30,12.2263,8.383,8.02,1.498,1.153,0.06,0.02,30.9818,48414.4,94.97, 07 Nov 2020, 06:30:00,0
HCEP03730292,11/7/2020 6:45,12.2715,8.397,8.02,1.653,1.099,0.05,0.03,31.0001,48433.8,95.22, 07 Nov 2020, 06:45:00,0
HCEP03730292,11/7/2020 7:00,12.2104,8.375,8.02,1.506,1.21,0.15,0.04,30.994,48433.6,94.85, 07 Nov 2020, 07:00:00,0
HCEP03730292,11/7/2020 7:15,12.1811,8.327,8.02,1.559,1.161,0.09,0.03,30.9882,48429.5,94.24, 07 Nov 2020, 07:15:00,0
HCEP03730292,11/7/2020 7:30,12.1861,8.313,8.02,1.545,1.299,0.11,0.04,30.9977,48442.2,94.1, 07 Nov 2020, 07:30:00,0
HCEP03730292,11/7/2020 7:45,12.1132,8.301,8.02,1.469,1.2,0.06,0.04,30.9782,48424.9,93.82, 07 Nov 2020, 07:45:00,0
HCEP03730292,11/7/2020 8:00,12.1688,8.299,8.01,1.125,1.01,0.05,0.02,30.8677,48261.7,93.82, 07 Nov 2020, 08:00:00,0
HCEP03730292,11/7/2020 8:15,12.1481,8.296,8.01,1.217,0.983,0.05,0.04,30.8629,48257.7,93.75, 07 Nov 2020, 08:15:00,0
HCEP03730292,11/7/2020 8:30,12.1348,8.289,8.01,1.174,1.055,0.08,0.02,30.8883,48295.3,93.67, 07 Nov 2020, 08:30:00,0
HCEP03730292,11/7/2020 8:45,12.1146,8.264,8.01,1.199,1.06,0.04,0.03,30.9024,48317.9,93.34, 07 Nov 2020, 08:45:00,0
HCEP03730292,11/7/2020 9:00,12.0985,8.303,8.01,1.206,1.134,0.08,0.04,30.9077,48327.6,93.76, 07 Nov 2020, 09:00:00,0
HCEP03730292,11/7/2020 9:15,12.0972,8.293,8.01,1.208,1.065,0.04,0.03,30.9142,48337,93.65, 07 Nov 2020, 09:15:00,0
HCEP03730292,11/7/2020 9:30,12.0793,8.278,8.01,1.201,1.134,0.06,0.05,30.9156,48341.5,93.44, 07 Nov 2020, 09:30:00,0
HCEP03730292,11/7/2020 9:45,12.0792,8.29,8.01,1.266,1.1,0.05,0.05,30.9248,48354.4,93.58, 07 Nov 2020, 09:45:00,0
HCEP03730292,11/7/2020 10:00,12.0743,8.272,8.01,1.222,1.142,0.06,0.04,30.9286,48360.4,93.37, 07 Nov 2020, 10:00:00,0
HCEP03730292,11/7/2020 10:15,12.0895,8.265,8.01,1.262,1.113,0.04,0.04,30.934,48365.9,93.32, 07 Nov 2020, 10:15:00,0
HCEP03730292,11/7/2020 10:30,12.0731,8.227,8.01,1.188,1.138,0.05,0.02,30.9301,48362.7,92.86, 07 Nov 2020, 10:30:00,0
HCEP03730292,11/7/2020 10:45,12.0578,8.224,8.01,1.29,1.174,0.06,0.09,30.9339,48370.1,92.81, 07 Nov 2020, 10:45:00,0
HCEP03730292,11/7/2020 11:00,12.0779,8.224,8.01,1.278,1.157,0.12,0.02,30.9391,48374.7,92.85, 07 Nov 2020, 11:00:00,0
HCEP03730292,11/7/2020 11:15,12.0955,8.216,8.01,1.372,1.21,0.05,0.02,30.9587,48399.8,92.81, 07 Nov 2020, 11:15:00,0
HCEP03730292,11/7/2020 11:30,12.0737,8.245,8.01,1.308,1.186,0.05,0.03,30.9453,48383.9,93.08, 07 Nov 2020, 11:30:00,0
HCEP03730292,11/7/2020 11:45,12.0865,8.254,8.01,1.393,1.124,0.15,0.03,30.951,48390.3,93.21, 07 Nov 2020, 11:45:00,0
HCEP03730292,11/7/2020 12:00,12.0774,8.262,8.01,1.219,1.173,0.03,0.02,30.9427,48379.9,93.27, 07 Nov 2020, 12:00:00,0
HCEP03730292,11/7/2020 12:15,12.06,8.285,8.01,1.37,1.099,0.15,0.09,30.936,48372.8,93.49, 07 Nov 2020, 12:15:00,0
HCEP03730292,11/7/2020 12:30,12.0871,8.28,8.01,1.304,1.155,0.06,0.06,30.9427,48378.5,93.49, 07 Nov 2020, 12:30:00,0
HCEP03730292,11/7/2020 12:45,12.1337,8.275,8.01,1.512,1.144,0.04,0.06,30.9559,48390.6,93.54, 07 Nov 2020, 12:45:00,0
HCEP03730292,11/7/2020 13:00,12.1273,8.292,8.01,1.346,1.148,0.05,0.03,30.9455,48376.9,93.71, 07 Nov 2020, 13:00:00,0
HCEP03730292,11/7/2020 13:15,12.11,8.315,8.02,1.224,1.064,0.05,0.03,30.9338,48362.8,93.93, 07 Nov 2020, 13:15:00,0
HCEP03730292,11/7/2020 13:30,12.1736,8.377,8.02,1.163,1.096,0.04,0.02,30.9496,48376.3,94.77, 07 Nov 2020, 13:30:00,0
HCEP03730292,11/7/2020 13:45,12.3907,8.41,8.03,1.329,1.048,0.05,0.03,31.0206,48446.6,95.61, 07 Nov 2020, 13:45:00,0
HCEP03730292,11/7/2020 14:00,12.4375,8.427,8.03,1.185,1.092,0.05,0.03,31.0268,48449.1,95.9, 07 Nov 2020, 14:00:00,0
HCEP03730292,11/7/2020 14:15,12.4798,8.382,8.03,1.178,1.069,0.05,0.03,31.0446,48468.5,95.49, 07 Nov 2020, 14:15:00,0
HCEP03730292,11/7/2020 14:30,12.5493,8.404,8.03,1.038,1.082,0.04,0.02,31.0694,48494,95.9, 07 Nov 2020, 14:30:00,0
HCEP03730292,11/7/2020 14:45,12.6063,8.423,8.03,1.065,0.987,0.03,0.03,31.08,48501.5,96.23, 07 Nov 2020, 14:45:00,0
HCEP03730292,11/7/2020 15:00,12.6513,8.435,8.03,0.926,0.967,0.03,0.02,31.0691,48480.3,96.44, 07 Nov 2020, 15:00:00,0
HCEP03730292,11/7/2020 15:15,12.6261,8.46,8.03,1.023,0.909,0.03,0.02,31.0463,48451.5,96.67, 07 Nov 2020, 15:15:00,0
HCEP03730292,11/7/2020 15:30,12.6158,8.519,8.03,1.017,0.954,0.04,0.03,31.0345,48436.3,97.31, 07 Nov 2020, 15:30:00,0
HCEP03730292,11/7/2020 15:45,12.6168,8.53,8.03,1.016,0.9,0.03,0.02,31.0442,48449.8,97.45, 07 Nov 2020, 15:45:00,0
HCEP03730292,11/7/2020 16:00,12.6614,8.563,8.04,1.101,0.959,0.03,0.02,31.047,48448,97.88, 07 Nov 2020, 16:00:00,0
HCEP03730292,11/7/2020 16:15,12.6786,8.573,8.04,1.106,0.898,0.03,0.02,31.0872,48502.1,98.09, 07 Nov 2020, 16:15:00,0
HCEP03730292,11/7/2020 16:30,12.8839,8.588,8.04,1.024,0.873,0.05,0.02,31.1112,48509.4,98.69, 07 Nov 2020, 16:30:00,0
HCEP03730292,11/7/2020 16:45,12.9447,8.578,8.04,1.138,0.828,0.05,0.02,31.1281,48525.5,98.73, 07 Nov 2020, 16:45:00,0
HCEP03730292,11/7/2020 17:00,12.989,8.584,8.04,1.13,0.886,0.04,0.02,31.1458,48544.8,98.88, 07 Nov 2020, 17:00:00,0
HCEP03730292,11/7/2020 17:15,13.0934,8.552,8.04,1.084,0.825,0.03,0.03,31.1608,48552.7,98.74, 07 Nov 2020, 17:15:00,0
HCEP03730292,11/7/2020 17:30,13.1551,8.561,8.04,1.113,0.859,0.04,0.02,31.1771,48568,98.98, 07 Nov 2020, 17:30:00,0
HCEP03730292,11/7/2020 17:45,13.0058,8.587,8.04,1.367,0.885,0.07,0.05,31.1769,48586.2,99, 07 Nov 2020, 17:45:00,0
HCEP03730292,11/7/2020 18:00,13.1298,8.585,8.04,1.135,0.876,0.03,0.02,31.1663,48556,99.22, 07 Nov 2020, 18:00:00,0
HCEP03730292,11/7/2020 18:15,13.1549,8.583,8.04,1.274,0.855,0.04,0.02,31.16,48544.1,99.23, 07 Nov 2020, 18:15:00,0
HCEP03730292,11/7/2020 18:30,13.0792,8.583,8.04,1.29,0.95,0.04,0.02,31.1315,48513.4,99.06, 02 Nov 2020, 19:15:00,0
HCEP03730292,11/7/2020 18:45,13.0999,8.597,8.04,1.376,0.904,0.04,0.02,31.1212,48496.5,99.26, 07 Nov 2020, 18:45:00,0
HCEP03730292,11/7/2020 19:00,13.0416,8.638,8.04,1.369,0.963,0.05,0.01,31.0988,48472.3,99.59, 07 Nov 2020, 19:00:00,0
HCEP03730292,11/7/2020 19:15,13.0742,8.627,8.04,1.534,0.933,0.05,0.02,31.0897,48455.5,99.53, 07 Nov 2020, 19:15:00,0
HCEP03730292,11/7/2020 19:30,13.0884,8.614,8.04,1.495,0.991,0.06,0.02,31.0682,48423.5,99.37, 07 Nov 2020, 19:30:00,0
HCEP03730292,11/7/2020 19:45,12.8981,8.67,8.04,1.842,1.012,0.06,0.02,31.066,48444.3,99.68, 07 Nov 2020, 19:45:00,0
HCEP03730292,11/7/2020 20:00,12.8226,8.72,8.05,2.174,1.104,0.07,0.02,31.0281,48400.6,100.04, 07 Nov 2020, 20:00:00,0
HCEP03730292,11/7/2020 20:15,12.7878,8.795,8.05,2.674,1.036,0.08,0.01,31.0266,48403,100.84, 07 Nov 2020, 20:15:00,0
HCEP03730292,11/7/2020 20:30,12.7193,8.811,8.05,2.563,1.067,0.06,0.02,31.0026,48378.1,100.85, 07 Nov 2020, 20:30:00,0
HCEP03730292,11/7/2020 20:45,12.6659,8.821,8.05,2.587,1.048,0.06,0.02,30.9963,48376.2,100.86, 07 Nov 2020, 20:45:00,0
HCEP03730292,11/7/2020 21:00,12.5173,8.741,8.05,2.11,1.129,0.04,0.02,30.9661,48353.2,99.62, 07 Nov 2020, 21:00:00,0
HCEP03730292,11/7/2020 21:15,12.4995,8.619,8.04,1.813,1.057,0.03,0.03,30.9474,48329.3,98.17, 07 Nov 2020, 21:15:00,0
HCEP03730292,11/7/2020 21:30,12.491,8.521,8.03,1.721,1.107,0.05,0.02,30.9567,48343.5,97.05, 07 Nov 2020, 21:30:00,0
HCEP03730292,11/7/2020 21:45,12.447,8.491,8.03,1.732,1.122,0.08,0.02,30.97,48368,96.63, 07 Nov 2020, 21:45:00,0
HCEP03730292,11/7/2020 22:00,12.4094,8.458,8.02,1.73,1.195,0.08,0.02,30.973,48377.2,96.18, 07 Nov 2020, 22:00:00,0
